l ʁ	'p,ɛ'	'e,e'	'k,a'
a j	'p,ɛ'	't,ɛ'	'p,e'
a l	'p,ɛ'	'p,e'	'i,ɛ'
a ʁ	'p,ɛ'	't,ɛ'	'p,e'
j l	'p,ɛ'	'p,e'	'i,ɛ'
j ʁ	'p,ɛ'	't,ɛ'	'p,e'
ø j	'p,ɛ'	'd,ɔ'	'd,a'
ø l	'p,ɛ'	'd,a'	'p,d'
ø ʁ	'p,ɛ'	'd,p'	't,a'
t l	'k,a'	'ɔ,i'	'i,i'
t ʁ	'k,a'	'ɔ,i'	'i,i'
y l	'f,a'	'ɡ,i'	'p,d'
y ʁ	't,ɛ'	't,e'	'f,a'
ɔ ʁ	'p,ɛ'	'ɛ,p'	't,d'
f l	'k,a'	'ɔ,i'	'i,i'
f ʁ	'k,a'	'ɔ,i'	'i,i'
ɔ l	'p,ɛ'	'i,t'
a ø	'p,ɛ'	'd,t'	'p,s'
ɔ a	'p,ɛ'	'p,s'	'p,k'
d s	'e,e'	'ɔ,i'	'i,i'
k s	'i,i'	'ə,u'	'ɔ,t'
m s	'e,e'	'ɔ,i'	'i,i'
k ʒ	'o,u'	'i,i'	'ə,u'
b t	'o,u'	'ɔ,i'	'ə,u'
n t	'o,u'	'e,e'	'ɔ,i'
p t	'o,u'	'ɔ,i'	'i,i'
k t	'o,u'	'i,i'	'ə,u'
m t	'o,u'	'e,e'	'ɔ,i'
b ʒ	'o,u'	'ɔ,i'	'ə,u'
m ɡ	'o,u'	'ə,u'	'i,a'
n k	'o,u'	'i,i'	'ə,u'
m k	'o,u'	'i,i'	'ə,u'
p k	'o,u'	'i,i'	'ə,u'
b k	'o,u'	'ə,u'	'e,ɛ'
t ʒ	'o,u'	'ɔ,i'	'i,i'
ɡ k	'o,u'	'ə,u'	'e,a'
p m	'o,u'	'ɔ,i'	'i,i'
b n	'o,u'	'ɔ,i'	'ə,u'
p n	'o,u'	'ɔ,i'	'i,i'
b p	'o,u'	'ɔ,i'	'ə,u'
m d	'e,e'	'ɔ,i'	'i,i'
n d	'e,e'	'ɔ,i'	'i,i'
l d	'e,e'	'ɔ,i'	'i,i'
d t	'e,e'	'ɔ,i'	'i,i'
s ʁ	'e,e'	'ɔ,i'	'i,i'
p ʁ	'e,e'	'k,a'	'ɔ,i'
n s	'e,e'	'ɔ,i'	'i,i'
m n	'e,e'	'ɔ,i'	'i,i'
l p	'e,e'	'k,a'	'ɔ,i'
e ʁ	'k,a'	't,ɛ'	't,e'
i ʁ	'k,a'	'b,d'	'd,p'
w ʁ	'k,a'	'v,a'	'f,a'
w l	'k,a'	'f,a'	'e,a'
ə l	'k,a'	'k,d'	'k,k'
ə t	'k,a'	's,d'	'k,s'
ɛ l	'i,s'	'ɛ,d'	'i,t'
ɛ t	'u,d'	's,d'	'k,s'
ʃ l	'e,ɛ'	'i,ɛ'	'ə,ə'
ʃ t	'u,d'	'i,ɛ'	'i,a'
ʃ ʁ	'u,d'	'e,ɛ'	'i,ɛ'
k ʁ	'i,i'	'ə,u'	'ɔ,t'
a t	't,ɛ'	'u,d'	's,d'
f t	'k,a'	'ɔ,i'	'i,i'
i t	'k,a'	's,d'	'k,s'
i l	'k,a'	'ʒ,a'	'b,d'
u l	'k,a'	'b,d'	'k,d'
ɡ l	'i,a'	'i,e'	'a,ɛ'
ɡ t	'ə,u'	'i,a'	'i,e'
n l	'ɔ,i'	'i,i'	'ɔ,ɔ'
n ʁ	'ɔ,i'	'i,i'	't,ɛ'
e l	'k,a'	'ʒ,a'	'b,d'
u ʁ	'k,a'	't,e'	'v,a'
ə ʁ	'k,a'	'd,p'	'd,s'
ɛ w	'v,a'	'f,a'	's,a'
a i	'd,t'	'p,s'	'b,t'
f w	'k,a'	'e,a'	's,a'
i w	'k,a'	'ʒ,a'	's,a'
u i	'k,a'	'd,t'	'p,s'
u w	'k,a'	'v,a'	't,a'
ə i	'k,a'	'd,t'	's,d'
e p	'k,a'	's,e'	's,a'
e w	'k,a'	'ʃ,a'	'v,a'
p w	'k,a'	'v,a'	'e,a'
s i	'b,t'	'k,s'	'k,t'
f e	'k,a'	'i,k'	's,a'
ə e	'k,a'	'd,t'	's,d'
e i	'k,a'	'd,t'	'p,s'
p i	'k,a'	's,a'	's,ɛ'
ɛ ə	'd,t'	's,d'	'k,s'
a f	'i,ɛ'	'ɛ,ɛ'	'e,ɛ'
e s	'ə,t'	't,ɛ'	't,e'
y s	't,ɛ'	'b,t'	'k,t'
ʒ s	'ə,t'	'ɔ,i'	'i,i'
e ʒ	'ə,t'	's,e'	'a,t'
