l ʁ	'p,ɛ'	'e,e'	'k,a'
a j	'p,ɛ'	't,ɛ'	'i,ɛ'
a l	'p,ɛ'	'i,ɛ'	'b,d'
a ʁ	'p,ɛ'	't,ɛ'	'b,t'
j l	'p,ɛ'	'i,ɛ'	'ʒ,a'
j ʁ	'p,ɛ'	't,ɛ'	't,e'
ø j	'p,ɛ'	'd,ɔ'	'd,a'
ø l	'p,ɛ'	'd,a'	'p,d'
ø ʁ	'p,ɛ'	'd,p'	't,a'
t l	'k,a'	'ɔ,i'	'i,i'
t ʁ	'k,a'	'ɔ,i'	'i,i'
y l	'f,a'	'p,d'	'b,s'
y ʁ	't,ɛ'	't,e'	'f,a'
ɔ ʁ	'p,ɛ'	'ɛ,p'	'i,b'
f l	'k,a'	'ɔ,i'	'i,i'
f ʁ	'k,a'	'ɔ,i'	'i,i'
ɔ l	'p,ɛ'	'i,b'	'i,t'
a ø	'p,ɛ'	'd,t'	'p,s'
ɔ a	'p,ɛ'	'p,s'	'p,k'
d s	'e,e'	'ɔ,i'	'i,i'
k s	'i,i'	'ə,u'	'ɔ,t'
m s	'e,e'	'ɔ,i'	'i,i'
k ʒ	'i,i'	'ə,u'	'i,ɛ'
b t	'ɔ,i'	'ə,u'	'a,s'
n t	'e,e'	'ɔ,i'	'i,i'
p t	'ɔ,i'	'i,i'	'ə,u'
k t	'i,i'	'ə,u'	'i,ɛ'
m t	'e,e'	'ɔ,i'	'i,i'
b ʒ	'ɔ,i'	'ə,u'	'ə,ə'
m ɡ	'ə,u'	'i,a'	'a,ɛ'
n k	'i,i'	'ə,u'	'i,ɛ'
m k	'i,i'	'ə,u'	'ɔ,t'
p k	'i,i'	'ə,u'	'e,ɛ'
b k	'ə,u'	'e,ɛ'	'ɔ,s'
t ʒ	'ɔ,i'	'i,i'	'ə,u'
ɡ k	'ə,u'	'e,a'	'i,a'
p m	'ɔ,i'	'i,i'	'ə,u'
b n	'ɔ,i'	'ə,u'	'ɔ,s'
p n	'ɔ,i'	'i,i'	'ə,u'
b p	'ɔ,i'	'ə,u'	'e,ɛ'
m d	'e,e'	'ɔ,i'	'i,i'
n d	'e,e'	'ɔ,i'	'i,i'
l d	'e,e'	'ɔ,i'	'i,i'
d t	'e,e'	'ɔ,i'	'i,i'
s ʁ	'e,e'	'ɔ,i'	'i,i'
p ʁ	'e,e'	'k,a'	'ɔ,i'
n s	'e,e'	'ɔ,i'	'i,i'
m n	'e,e'	'ɔ,i'	'i,i'
l p	'e,e'	'k,a'	'ɔ,i'
e ʁ	'k,a'	't,ɛ'	't,e'
i ʁ	'k,a'	'b,d'	'd,p'
w ʁ	'k,a'	'v,a'	'f,a'
w l	'k,a'	'f,a'	'e,a'
ə l	'k,a'	'k,d'	'k,ɛ'
ə t	'k,a'	's,d'	'k,s'
ɛ l	'i,s'	'ɛ,d'	'i,t'
ɛ t	's,d'	'k,s'	's,e'
ʃ l	'e,ɛ'	'i,ɛ'	'ə,ə'
ʃ t	'i,ɛ'	'i,a'	'a,e'
ʃ ʁ	'e,ɛ'	'i,ɛ'	'ɔ,d'
k ʁ	'i,i'	'ə,u'	'ɔ,t'
a t	't,ɛ'	's,d'	'k,s'
f t	'k,a'	'ɔ,i'	'i,i'
i t	'k,a'	's,d'	'k,s'
i l	'k,a'	'ʒ,a'	'b,d'
u l	'k,a'	'b,d'	'k,d'
ɡ l	'ɛ,z'	'i,a'	'i,e'
ɡ t	'ə,u'	'i,a'	'i,e'
n l	'ɔ,i'	'i,i'	'u,ə'
n ʁ	'ɔ,i'	'i,i'	'u,ə'
e l	'k,a'	'ʒ,a'	'b,d'
u ʁ	'k,a'	't,e'	'v,a'
ə ʁ	'k,a'	'd,p'	'd,s'
ɛ w	'v,a'	'f,a'	's,a'
a i	'd,t'	'p,s'	'z,k'
f w	'k,a'	'e,a'	's,a'
i w	'k,a'	'ʒ,a'	's,a'
u i	'k,a'	'd,t'	'p,s'
u w	'k,a'	'v,a'	't,a'
ə i	'k,a'	'd,t'	's,d'
e p	'k,a'	's,e'	's,a'
e w	'k,a'	'ʃ,a'	'v,a'
p w	'k,a'	'v,a'	'e,a'
s i	'b,t'	'k,s'	'k,t'
f e	'k,a'	'i,k'	's,a'
ə e	'k,a'	'd,t'	's,d'
e i	'k,a'	'd,t'	'p,s'
p i	'k,a'	's,a'	's,ɛ'
ɛ ə	'd,t'	's,d'	'k,s'
a f	'i,ɛ'	'ɛ,ɛ'	'e,ɛ'
e s	'ə,t'	't,ɛ'	't,e'
y s	't,ɛ'	'b,t'	'k,t'
ʒ s	'ə,t'	'ɔ,i'	'i,i'
e ʒ	'ə,t'	's,e'	'a,t'
a ʒ	'i,ɛ'	'a,s'	'a,d'
y e	't,ɛ'	'd,t'	's,d'
a e	't,ɛ'	'd,t'	'p,s'
o e	'd,t'	's,d'	'u,t'
m l	'ɔ,i'	'i,i'	'u,ə'
s l	'ɔ,i'	'i,i'	'u,ə'
s p	'ɔ,i'	'i,i'	'ə,u'
ʃ p	'e,ɛ'	'e,a'	'i,a'
d f	'ɔ,i'	'i,i'	'u,ə'
d p	'ɔ,i'	'i,i'	'ə,u'
d ʁ	'ɔ,i'	'i,i'	'u,ə'
f n	'ɔ,i'	'i,i'	'u,ə'
f p	'ɔ,i'	'i,i'	'ə,u'
s f	'ɔ,i'	'i,i'	'u,ə'
ʒ f	'ɔ,i'	'i,i'	'ə,u'
ʒ l	'ɔ,i'	'i,i'	'i,ɛ'
ʒ n	'ɔ,i'	'i,i'	'ə,u'
ʒ p	'ɔ,i'	'i,i'	'ə,u'
ʒ ʁ	'ɔ,i'	'i,i'	'ə,u'
v n	'ɔ,i'	'i,i'	'u,ə'
v p	'ɔ,i'	'i,i'	'ə,u'
v ʁ	'ɔ,i'	'i,i'	'u,ə'
b f	'ɔ,i'	'ə,u'	'e,ɛ'
b l	'ɔ,i'	'ɔ,t'	'i,ɛ'
b ʁ	'ɔ,i'	'ə,u'	'ɔ,t'
v f	'ɔ,i'	'i,i'	'u,ə'
v l	'ɔ,i'	'i,i'	'u,ə'
m ʁ	'ɔ,i'	'i,i'	'u,ə'
k f	'i,i'	'ə,u'	'e,ɛ'
k l	'i,i'	'ɔ,t'	'i,ɛ'
m f	'ɔ,i'	'i,i'	'ə,u'
b s	'ɔ,i'	'ə,u'	'ɔ,t'
s t	'ɔ,i'	'i,i'	't,ɛ'
v s	'ɔ,i'	'i,i'	'u,ə'
v t	'ɔ,i'	'i,i'	'ə,u'
b m	'ɔ,i'	'ə,u'	'ɔ,t'
ʒ m	'ɔ,i'	'i,i'	'ə,u'
v m	'ɔ,i'	'i,i'	'u,ə'
ʃ s	'i,ɛ'	'ə,ə'	'i,a'
b d	'ɔ,i'	'ə,u'	'ə,ə'
v d	'ɔ,i'	'i,i'	'u,ə'
k d	'i,i'	'ə,u'	'i,ɛ'
d ʒ	'ɔ,i'	'i,i'	'ə,u'
v ʒ	'ɔ,i'	'i,i'	'ə,u'
b v	'ɔ,i'	'ə,u'	'i,ɛ'
ʃ m	'i,ɛ'	'ɔ,d'	'ə,ə'
ɛ ʁ	't,ɛ'	't,e'	'v,a'
n j	't,ɛ'	't,e'	'i,ɛ'
d z	'i,i'	'i,ɛ'	'o,ɛ'
l z	'i,i'	'i,ɛ'	'ɛ,ɔ'
n z	'i,i'	'i,ɛ'	'ɛ,ɔ'
t z	'i,i'	'i,ɛ'	'o,ɛ'
z ʁ	'i,i'	'i,ɛ'	'o,ɛ'
ɲ l	'i,i'	'i,k'	'a,d'
ɲ n	'i,i'	'ɛ,d'	'i,d'
ɲ t	'i,i'	'ɛ,d'	'i,d'
ɲ z	'i,i'	'i,d'	'a,i'
ɲ ʁ	'i,i'	'i,k'	'a,d'
k z	'i,i'	'i,ɛ'	'o,ɛ'
m z	'i,i'	'i,ɛ'	'ɛ,ɔ'
s z	'i,i'	'i,ɛ'	'o,ɛ'
z ʒ	'i,i'	'i,ɛ'	'o,ɛ'
f z	'i,i'	'i,ɛ'	'ɛ,ɔ'
p z	'i,i'	'i,ɛ'	'ɛ,ɔ'
