Contrasts	Context
b m	['v,ih', 'ax,ae', 'ae,s', 's,eh', 'ax,ih', 'd,ao', 'ax,ao', 's,ih', 't,aa', 'ih,ax', 'aa,ax', 'd,ae', 'ah,s', 't,ih', 'ax,eh', 'd,ih', 'z,ah', 'ax,aa', 'ah,ax', 's,ax', 'z,eh', 'ae,ax', 'ax,ah', 'ax,t', 'ax,ax', 'd,eh']
f m	['v,ih', 'ax,ae', 't,eh', 'eh,ax', 'ih,hh', 'ax,ih', 'd,ao', 'ax,ao', 'ih,ax', 'aa,ax', 't,ih', 'ax,eh', 'd,ih', 'ah,t', 'ax,aa', 'ah,ax', 'ih,t', 't,ao', 'ae,t', 'z,ao', 'z,eh', 't,ax', 'ae,ax', 'eh,t', 'd,ax', 'ax,ax', 'ih,sh', 's,ao', 'ah,ah', 'v,ao', 'ih,eh', 'ih,p', 'ih,ih']
d hh	['v,ih', 'ax,ae', 't,eh', 'eh,ax', 'ax,ih', 'ax,ao', 's,ih', 's,ae', 't,aa', 'z,ae', 't,ih', 'ax,eh', 'd,ih', 'ax,aa', 'z,ih', 'z,eh', 'ax,ah', 'v,ae', 'd,aa']
p d	['v,ih', 'ax,ae', 'ae,s', 'eh,ax', 'ax,ih', 'ih,s', 'ax,ao', 's,ih', 'ih,ax', 'ae,hh', 'aa,ax', 'ax,s', 't,ih', 'ax,eh', 'ah,ae', 'ax,aa', 'ah,ax', 'ae,t', 'ae,ax', 'eh,t', 'ax,t', 'ax,ax', 'z,aa', 'd,aa']
p hh	['v,ih', 'ax,ae', 'ax,ih', 'ax,ao', 's,ih', 's,ae', 't,aa', 'v,eh', 'z,ae', 'd,ae', 't,ih', 'ax,eh', 'd,uh', 'ax,aa', 't,ae', 'z,aa', 'd,aa']
r d	['v,ih', 'eh,hh', 't,eh', 'eh,ax', 'eh,s', 'ax,ih', 'ih,s', 'eh,z', 'ax,ao', 's,ih', 's,ae', 'eh,k', 't,aa', 't,ah', 'ih,ax', 'aa,ax', 't,ih', 'eh,ah', 'ax,eh', 'd,ih', 'z,ah', 'ax,aa', 'z,ih', 'd,ah', 'eh,f', 'eh,t', 'ax,ah', 'uh,ax', 'eh,b', 'ax,ax', 'uh,z', 'eh,ae', 'ao,ax', 'eh,ih', 'ih,dh', 'eh,dh', 'aa,z']
r hh	['v,ih', 't,eh', 'eh,ax', 'k,ih', 'ax,ih', 'ax,ao', 's,ih', 'ao,ih', 's,ae', 'v,eh', 'ch,ih', 'k,ae', 'd,ae', 'f,ae', 't,ih', 'ax,eh', 'd,ih', 'ax,aa', 'z,ih', 'ax,ah', 't,ae', 'd,eh', 'd,aa', 'p,ih']
s d	['v,ih', 'ax,ae', 'eh,hh', 't,eh', 'eh,ax', 'ax,f', 'ax,ih', 'ax,hh', 'ax,v', 'ax,ao', 'v,eh', 'v,aa', 't,ah', 'ih,ax', 'aa,ax', 'ax,s', 'z,t', 't,ih', 'ax,eh', 'd,ih', 'ax,dh', 'ax,aa', 'z,ih', 'd,ah', 'ae,b', 'ah,ax', 'ih,t', 'ax,k', 'ax,p', 'ae,t', 'v,t', 'z,eh', 'ae,ax', 'eh,t', 'ax,ah', 'ax,d', 'ax,t', 'eh,b', 'ax,ax', 'eh,p', 'ao,ax', 'ae,k', 'eh,ih', 'z,ax', 'ax,b', 'eh,dh', 'ae,p']
s hh	['v,ih', 'ax,ae', 't,eh', 'eh,ax', 'k,ih', 'ax,ih', 'ax,ao', 's,ih', 't,aa', 'v,eh', 'k,ae', 'd,ae', 't,ih', 'ax,eh', 'd,ih', 'ax,aa', 'z,ih', 'z,eh', 'ax,ah', 't,ae', 'v,ae', 'd,eh']
b d	['v,ih', 'ax,ae', 'ae,s', 'ax,ih', 'ax,ao', 's,ih', 's,ae', 't,aa', 'v,aa', 'ih,ax', 'z,ae', 'aa,ax', 't,ih', 'ax,eh', 'd,ih', 'ax,aa', 'z,ih', 'ah,ax', 'z,eh', 'ae,ax', 'ax,ah', 'ax,t', 'ax,ax', 'z,ax']
