Context	Contrastes
v,ih	b m
v,ih	f m
v,ih	d hh
v,ih	hh d
v,ih	p d
v,ih	p hh
v,ih	r d
v,ih	r hh
v,ih	s d
v,ih	s hh
v,ih	b d
v,ih	b hh
v,ih	d hh
v,ih	er d
v,ih	er hh
v,ih	hh d
v,ih	r d
v,ih	r hh
v,ih	s d
v,ih	s hh
v,ih	b hh
v,ih	b m
v,ih	hh m
v,ih	m hh
v,ih	n hh
v,ih	n m
v,ih	d hh
v,ih	d l
v,ih	er d
v,ih	er hh
v,ih	er l
v,ih	hh d
v,ih	hh l
v,ih	k d
v,ih	k hh
v,ih	k l
v,ih	l d
v,ih	l hh
v,ih	v d
v,ih	v hh
v,ih	v l
v,ih	w d
v,ih	w hh
v,ih	w l
v,ih	b d
v,ih	b hh
v,ih	b m
v,ih	d hh
v,ih	d m
v,ih	g d
v,ih	g hh
v,ih	g m
v,ih	hh d
v,ih	hh m
v,ih	m d
v,ih	m hh
v,ih	b d
v,ih	jh d
v,ih	v d
v,ih	z d
v,ih	b d
v,ih	b hh
v,ih	b th
v,ih	d hh
v,ih	d th
v,ih	hh d
v,ih	hh th
v,ih	p d
v,ih	p hh
v,ih	p th
v,ih	s d
v,ih	s hh
v,ih	s th
v,ih	t d
v,ih	t hh
v,ih	t th
v,ih	th d
v,ih	th hh
v,ih	d hh
v,ih	er d
v,ih	er hh
v,ih	f d
v,ih	f hh
v,ih	hh d
v,ih	r d
v,ih	r hh
v,ih	s d
v,ih	s hh
v,ih	sh d
v,ih	sh hh
v,ih	w d
v,ih	w hh
v,ih	z d
v,ih	z hh
v,ih	b d
v,ih	b hh
v,ih	b l
v,ih	b m
v,ih	d hh
v,ih	d l
v,ih	d m
v,ih	hh d
v,ih	hh l
v,ih	hh m
v,ih	l d
v,ih	l hh
v,ih	l m
v,ih	m d
v,ih	m hh
v,ih	m l
v,ih	t hh
v,ih	b d
v,ih	b m
v,ih	d m
v,ih	f d
v,ih	f m
v,ih	m d
v,ih	r d
v,ih	r m
v,ih	v d
v,ih	v m
v,ih	w d
v,ih	w m
v,ih	z d
v,ih	z m
v,ih	d m
v,ih	hh m
v,ih	l m
v,ih	th m
v,ih	d b
v,ih	er b
v,ih	hh b
v,ih	r b
v,ih	s b
v,ih	w b
v,ih	b m
v,ih	hh b
v,ih	hh m
v,ih	m b
v,ih	n b
v,ih	n m
v,ih	b m
v,ih	d b
v,ih	d m
v,ih	g b
v,ih	g m
v,ih	hh b
v,ih	hh m
v,ih	m b
v,ih	d b
v,ih	jh b
v,ih	v b
v,ih	z b
v,ih	d b
v,ih	hh b
v,ih	p b
v,ih	s b
v,ih	t b
v,ih	th b
v,ih	d f
v,ih	er f
v,ih	hh f
v,ih	r f
v,ih	s f
v,ih	sh f
v,ih	w f
v,ih	z f
v,ih	b m
v,ih	d b
v,ih	d m
v,ih	hh b
v,ih	hh m
v,ih	l b
v,ih	l m
v,ih	m b
v,ih	b f
v,ih	b m
v,ih	d b
v,ih	d f
v,ih	d m
v,ih	f b
v,ih	f m
v,ih	m b
v,ih	m f
v,ih	r b
v,ih	r f
v,ih	r m
v,ih	v b
v,ih	v f
v,ih	v m
v,ih	w b
v,ih	w f
v,ih	w m
v,ih	z b
v,ih	z f
v,ih	z m
v,ih	d hh
v,ih	hh d
v,ih	l d
v,ih	l hh
v,ih	m d
v,ih	m hh
v,ih	th d
v,ih	th hh
v,ih	b d
v,ih	b hh
v,ih	b r
v,ih	b s
v,ih	d hh
v,ih	d r
v,ih	d s
v,ih	er d
v,ih	er hh
v,ih	er r
v,ih	er s
v,ih	hh d
v,ih	hh r
v,ih	hh s
v,ih	r d
v,ih	r hh
v,ih	r s
v,ih	s d
v,ih	s hh
v,ih	s r
v,ih	b hh
v,ih	m hh
v,ih	n hh
v,ih	d hh
v,ih	er d
v,ih	er hh
v,ih	hh d
v,ih	k d
v,ih	k hh
v,ih	l d
v,ih	l hh
v,ih	v d
v,ih	v hh
v,ih	w d
v,ih	w hh
v,ih	b d
v,ih	b hh
v,ih	d hh
v,ih	g d
v,ih	g hh
v,ih	hh d
v,ih	m d
v,ih	m hh
v,ih	b d
v,ih	jh d
v,ih	v d
v,ih	z d
v,ih	b d
v,ih	b hh
v,ih	b p
v,ih	b s
v,ih	d hh
v,ih	d p
v,ih	d s
v,ih	hh d
v,ih	hh p
v,ih	hh s
v,ih	p d
v,ih	p hh
v,ih	p s
v,ih	s d
v,ih	s hh
v,ih	s p
v,ih	t d
v,ih	t hh
v,ih	t p
v,ih	t s
v,ih	th d
v,ih	th hh
v,ih	th p
v,ih	th s
v,ih	d hh
v,ih	d r
v,ih	d s
v,ih	er d
v,ih	er hh
v,ih	er r
v,ih	er s
v,ih	f d
v,ih	f hh
v,ih	f r
v,ih	f s
v,ih	hh d
v,ih	hh r
v,ih	hh s
v,ih	r d
v,ih	r hh
v,ih	r s
v,ih	s d
v,ih	s hh
v,ih	s r
v,ih	sh d
v,ih	sh hh
v,ih	sh r
v,ih	sh s
v,ih	w d
v,ih	w hh
v,ih	w r
v,ih	w s
v,ih	z d
v,ih	z hh
v,ih	z r
v,ih	z s
v,ih	b d
v,ih	b hh
v,ih	d hh
v,ih	hh d
v,ih	l d
v,ih	l hh
v,ih	m d
v,ih	m hh
v,ih	t hh
v,ih	b d
v,ih	b r
v,ih	d r
v,ih	f d
v,ih	f r
v,ih	m d
v,ih	m r
v,ih	r d
v,ih	v d
v,ih	v r
v,ih	w d
v,ih	w r
v,ih	z d
v,ih	z r
v,ih	d hh
v,ih	hh d
v,ih	l d
v,ih	l hh
v,ih	m d
v,ih	m hh
v,ih	th d
v,ih	th hh
v,ih	f b
v,ih	m b
v,ih	d hh
v,ih	d r
v,ih	d s
v,ih	hh d
v,ih	hh r
v,ih	hh s
v,ih	p d
v,ih	p hh
v,ih	p r
v,ih	p s
v,ih	r d
v,ih	r hh
v,ih	r s
v,ih	s d
v,ih	s hh
v,ih	s r
v,ih	w b
v,ih	b hh
v,ih	hh b
v,ih	m b
v,ih	m hh
v,ih	n b
v,ih	n hh
v,ih	d er
v,ih	d hh
v,ih	er d
v,ih	er hh
v,ih	hh d
v,ih	hh er
v,ih	k d
v,ih	k er
v,ih	k hh
v,ih	l d
v,ih	l er
v,ih	l hh
v,ih	v d
v,ih	v er
v,ih	v hh
v,ih	w d
v,ih	w er
v,ih	w hh
v,ih	b d
v,ih	b hh
v,ih	d b
v,ih	d hh
v,ih	g b
