TGTphone	OTHPhone	Contx	SpeakerAB	SpeakerX	IndTGT	IndOTH	IndX
hh	p	['ax', 'ae']	2741	3851	0	9093	10066
n	k	['ae', 's']	6509	1571	1	8654	11223
d	s	['ax', 'ae']	1571	5189	4	10960	10424
p	l	['ax', 'ae']	5189	0511	8	917	10968
k	t	['ax', 'ae']	2294	2741	10	6600	9961
r	t	['eh', 'ax']	0188	2294	11	6075	11053
s	w	['t', 'eh']	0511	5802	13	961	10941
n	t	['aa', 'd']	0188	1571	14	9251	10465
m	p	['ax', 'ae']	6895	6509	15	4975	11194
w	t	['s', 'aa']	0188	2294	16	7325	9573
n	b	['ax', 'ae']	0511	6895	17	2350	11084
l	f	['ax', 'ae']	0188	3347	20	9075	9928
w	s	['t', 'eh']	0511	3851	23	3867	11015
hh	l	['v', 'ih']	3851	3347	24	6775	10802
m	r	['t', 'eh']	8193	5189	25	7576	7952
n	r	['eh', 's']	8824	5189	30	8263	11220
z	f	['v', 'ih']	6509	8824	31	4806	10297
d	hh	['v', 'ih']	0188	5802	34	9661	11203
s	l	['ax', 'ae']	1571	3347	38	9754	10936
l	b	['v', 'ih']	6895	3851	40	7140	6862
hh	f	['ax', 'ih']	3347	2294	48	1195	10385
g	m	['t', 'eh']	5802	0188	49	10682	7252
z	d	['ae', 's']	0511	2741	50	2811	10921
n	f	['ih', 'hh']	5189	2741	54	1914	10573
n	d	['eh', 'ax']	3851	0511	58	7637	11219
g	k	['ax', 'ih']	5189	8193	60	9723	3513
f	p	['ax', 'ae']	8824	0188	66	7404	10175
d	w	['ax', 'ih']	1571	3347	68	1171	11069
f	w	['s', 'aa']	2741	8824	71	7542	7833
s	k	['eh', 'ax']	3347	8824	75	5336	11184
n	g	['ax', 'ih']	1571	0511	77	6929	11114
v	r	['eh', 'ax']	2741	3851	83	9173	11044
r	d	['v', 'ih']	1571	2294	89	9551	10097
b	f	['ax', 'ih']	1571	0188	90	5571	10735
l	r	['eh', 's']	6895	0511	93	6933	10432
z	v	['ax', 'ae']	8824	5802	96	1266	10681
k	y	['ax', 'ih']	8193	6895	110	10018	10562
m	r	['eh', 'ax']	1571	4926	115	5672	10895
p	t	['ae', 's']	6509	0188	120	10754	10085
d	n	['eh', 'ax']	3851	6509	130	58	10795
t	w	['s', 'aa']	8193	8824	133	7721	11156
v	t	['ae', 's']	3347	4926	143	9554	9987
k	v	['eh', 'ax']	2741	3851	150	10330	11202
hh	w	['k', 'ih']	5189	3347	152	7977	9359
l	r	['eh', 'ax']	6509	3851	154	10276	10528
f	r	['v', 'ih']	6509	8824	160	1597	10325
y	g	['ax', 'ih']	4926	8193	167	8206	10723
t	hh	['ax', 'ae']	3851	2294	172	8631	10693
