TGTphone	OTHPhone	Contx	SpeakerAB	SpeakerX	IndTGT	IndOTH	IndX
ʁ	j	['p', 'e']	F01_O	F10_O	0	14167	25960
t	v	['ə', 'u']	M07_O	F02_O	3	13598	25663
y	l	['f', 'a']	M01_O	M08_N	4	1150	12324
n	a	['i', 'ɛ']	F02_N	F10_O	8	21024	25119
i	w	['k', 'a']	F06_N	M07_O	15	19315	23384
b	n	['ə', 'u']	M04_O	F06_N	24	17162	24683
a	y	['p', 's']	F03_O	F01_O	29	24565	26010
l	s	['ɔ', 'i']	F10_O	F01_N	32	19054	25953
ɔ	e	['p', 's']	M02_O	F06_N	33	22727	23666
ʒ	b	['ɔ', 'i']	F06_N	M02_O	37	7408	22291
p	f	['ɔ', 'i']	M07_N	F01_O	38	19221	22910
j	ʁ	['p', 'e']	F02_N	M10_O	46	17637	24165
ə	ø	['d', 'p']	F02_O	M02_O	55	927	25640
k	z	['i', 'i']	F10_O	M07_O	65	1872	22652
ɛ	f	['s', 'ɛ']	F01_O	M10_O	76	3504	8389
m	l	['i', 'i']	F02_O	F06_N	81	19774	25311
s	z	['i', 'ɛ']	M04_O	M02_O	82	12707	25850
ʃ	ɡ	['ə', 'a']	M01_O	F01_N	84	21699	16314
e	k	['s', 'd']	F02_O	F05_N	86	21609	25099
d	l	['e', 'e']	M02_O	F06_O	96	23764	25934
v	k	['e', 'ɛ']	F10_O	F02_O	103	4517	24357
z	m	['i', 'i']	M07_N	M02_O	106	12504	23115
u	e	['p', 's']	M10_N	F03_O	123	25857	25900
f	w	['e', 'a']	F02_O	F06_O	219	2626	22440
ø	j	['d', 'ɔ']	M07_N	M02_O	222	18269	22195
ɲ	m	['ɛ', 'd']	M01_O	F10_O	230	7893	12573
o	k	['a', 's']	F06_O	M08_N	241	17000	23347
ɡ	k	['e', 'a']	F06_O	M07_N	328	10643	25423
w	i	['s', 'a']	F05_N	F01_O	392	18330	25709
