Contraste	Quantite_Speaker
b m	180
f m	181
d hh	182
hh d	182
p d	181
p hh	181
r d	182
r hh	182
s d	182
s hh	182
b d	182
b hh	180
er d	177
er hh	140
hh m	174
m hh	180
n hh	179
n m	182
d l	181
er l	154
hh l	182
k d	182
k hh	180
k l	182
l d	182
l hh	181
v d	179
v hh	170
v l	181
w d	182
w hh	182
w l	182
d m	182
g d	179
g hh	157
g m	173
m d	182
jh d	178
z d	182
b th	120
d th	143
hh th	119
p th	101
s th	112
t d	182
t hh	181
t th	126
th d	180
th hh	157
f d	178
f hh	171
sh d	180
sh hh	171
z hh	173
b l	182
l m	182
m l	182
r m	181
v m	182
w m	182
z m	181
th m	160
d b	182
er b	144
hh b	180
r b	182
s b	182
w b	182
m b	182
n b	182
g b	160
jh b	128
v b	162
z b	173
p b	182
t b	182
th b	166
d f	181
er f	112
hh f	166
r f	179
s f	182
sh f	153
w f	174
z f	178
l b	182
b f	179
f b	181
m f	182
v f	173
b r	182
b s	182
d r	182
d s	182
er r	182
er s	168
hh r	181
hh s	182
r s	182
s r	182
b p	182
d p	177
hh p	180
p s	182
s p	182
t p	182
t s	182
th p	136
th s	148
f r	182
f s	182
sh r	179
sh s	182
w r	182
w s	182
z r	182
z s	182
m r	182
v r	170
p r	174
d er	116
hh er	88
k er	121
l er	133
v er	47
w er	120
f er	91
r er	162
s er	167
sh er	50
z er	86
d w	182
er w	176
hh w	182
k w	182
l w	181
v w	167
f w	181
r w	182
s w	182
sh w	162
z w	179
b w	182
m w	182
th l	157
b er	115
b v	172
d v	177
jh v	116
z v	165
f v	171
m v	182
r v	154
w v	149
er v	56
hh v	147
k v	174
l v	178
d z	182
er z	77
f z	180
hh z	162
r z	182
s z	182
sh z	156
w z	158
b z	170
m z	181
v z	171
l th	100
m th	125
r p	171
hh t	182
jh z	147
b t	182
d t	182
p t	182
s t	182
th t	180
ae ow	181
iy ow	177
iy ax	182
ae ax	182
ao ow	139
iy ae	182
ow ae	182
ax ae	182
ao ae	155
ax ow	182
ae iy	181
ax iy	182
ow iy	182
ow ax	182
n k	182
p k	182
dh l	182
ng l	182
l k	182
n l	182
z k	182
z l	182
m k	181
dh k	180
t k	182
t l	182
k n	182
r n	182
s n	182
l n	182
z n	182
p n	182
k dh	182
l dh	182
t dh	182
k z	181
n z	182
l z	182
ng dh	182
f g	181
aa g	65
b g	157
