Contrasts	Quantity_Context
l ʁ	193
ʁ l	180
a j	23
a l	70
a ʁ	101
j l	56
j ʁ	75
l j	52
ø j	8
ø l	7
ø ʁ	15
ʁ j	67
t l	127
t ʁ	149
y l	28
y ʁ	60
ɔ ʁ	25
f l	69
f ʁ	84
ɔ l	12
a ø	31
l a	66
l ø	6
ø a	42
ʁ a	87
ʁ ø	9
ɔ a	118
j a	22
j ø	5
l ɔ	11
ʁ ɔ	22
a ɔ	95
d s	140
k s	132
s d	136
m s	136
l v	83
v l	89
ʃ l	59
ʃ v	42
l d	111
d l	118
a ɔ̃	82
e a	190
e ɔ̃	86
ɔ̃ a	102
ɛ e	175
a e	183
ɔ̃ e	109
e ɛ	175
n b	53
s b	62
t b	63
z b	19
ʁ b	60
m b	54
p b	70
b s	73
z s	58
ʁ s	171
b n	64
n s	125
s n	124
ɲ n	6
ɲ s	12
ʁ n	127
m n	103
p n	90
t s	159
b ʁ	72
s ʁ	183
n ʁ	139
ɲ ʁ	14
z ʁ	66
t n	109
n m	106
b p	81
n p	91
b m	64
p m	105
m p	104
d k	113
d m	97
d n	94
k d	113
k m	112
k n	101
m d	102
m k	117
n d	94
n k	107
d ʁ	134
k ʁ	130
m ʁ	139
v d	88
v k	85
v m	84
v n	69
v ʁ	97
ʁ d	117
ʁ k	122
ʁ m	129
s k	133
v s	112
f d	79
f k	94
f s	97
s m	130
t d	125
t k	133
t m	113
ʒ d	84
ʒ k	71
ʒ m	70
ʒ n	62
ʒ s	79
ʒ ʁ	92
k l	115
l k	115
l n	109
n l	106
l s	143
s l	145
l m	116
d v	79
k v	77
n v	68
s v	103
ʁ v	84
f v	62
m v	80
m l	119
o ə	66
a ə	96
u ə	57
d t	124
s t	148
v t	95
k ʒ	60
b t	74
n t	107
p t	130
k t	125
m t	112
b ʒ	35
m ɡ	21
p k	114
b k	72
t ʒ	69
ɡ k	53
k ɡ	41
ʒ t	79
k p	108
t p	122
k b	63
ʒ b	36
ɡ m	32
a ɛ	185
i a	168
i ɛ	172
ɛ a	180
t ɛ	72
ɡ ɛ	33
œ a	28
œ ɛ	21
a i	166
ɛ i	174
a œ	21
e œ	19
ɛ œ	18
œ e	23
ɑ̃ a	152
t a	79
u a	89
a ɑ̃	140
t ɑ̃	53
u ɑ̃	71
t v	88
ʒ v	53
b v	50
p v	81
ʃ m	50
f t	98
m ʒ	62
v ʒ	48
ʃ ʒ	38
v p	88
f ʒ	42
t f	80
ɛ̃ a	87
a ɛ̃	72
f e	32
e ʁ	99
ʁ e	85
e ɑ̃	147
f ɑ̃	16
ɑ̃ e	154
ɑ̃ ʁ	75
ʁ ɑ̃	59
v e	30
v ɑ̃	18
ə ɑ̃	90
s e	68
e f	27
ɑ̃ f	20
s ɑ̃	45
p ʁ	113
l p	84
ʁ p	96
p l	87
a o	76
e o	62
e ɔ	83
e ə	102
o a	101
o e	82
o ɑ̃	77
o ɔ	45
y a	117
y e	114
y o	46
y ɑ̃	82
y ɔ	65
y ə	77
œ̃ a	55
œ̃ e	44
œ̃ o	17
œ̃ ɑ̃	36
œ̃ ɔ	25
œ̃ ə	27
ɑ̃ o	62
ɑ̃ ɔ	77
ɑ̃ ə	91
ɔ e	91
ɔ o	40
ɔ ɑ̃	82
ɔ ə	71
ɔ̃ o	37
ɔ̃ ɑ̃	83
ɔ̃ ɔ	51
ɔ̃ ə	78
ə a	99
ə e	107
ə o	46
ə ɔ	62
ɛ o	78
ɛ ɑ̃	140
ɛ ɔ	89
ɛ ə	88
b a	35
b e	24
b ɑ̃	19
b ɔ	16
b ə	6
u e	91
u ɔ	44
ʃ a	14
ʃ e	13
ʃ o	6
ʃ ɔ	4
ʃ ə	4
ʒ a	15
ʒ e	20
ʒ o	4
ʒ ɔ	4
ʒ ə	5
e ɛ̃	64
o ɛ̃	35
t e	68
t o	20
t ə	31
t ɛ̃	19
ə ɛ̃	29
ɛ ɛ̃	59
ɛ̃ e	72
ɛ̃ o	29
ɛ̃ ə	34
i e	168
i o	65
i ɔ	85
i ə	106
t ɔ	24
u ɛ̃	24
y ɛ̃	32
ɑ̃ ɛ̃	57
ɔ ɛ̃	32
ɔ̃ ɛ̃	37
ɛ̃ ɑ̃	65
ɛ̃ ɔ	35
d a	43
d e	40
d ɑ̃	17
d ɔ	12
i ɑ̃	132
m a	40
m e	46
m ɑ̃	32
m ɔ	7
ʒ ɑ̃	11
a y	103
b y	21
b ɔ̃	3
b ɛ	40
e y	105
u y	56
u ɔ̃	36
u ɛ	86
y ɔ̃	48
y ɛ	109
ɑ̃ y	81
ɑ̃ ɔ̃	73
ɑ̃ ɛ	147
ɔ y	66
ɔ ɔ̃	53
ɔ ɛ	101
ɔ̃ y	57
ɔ̃ ɛ	92
ə y	76
ə ɔ̃	62
ə ɛ	85
ɛ y	106
ɛ ɔ̃	72
o ɔ̃	43
o ɛ	98
ʃ ɔ̃	4
ʃ ɛ	13
ʒ ɔ̃	3
ʒ ɛ	19
ɛ̃ ɛ	78
a œ̃	37
e œ̃	27
i œ̃	24
o œ̃	15
t œ̃	23
œ̃ ɛ	33
ɔ œ̃	16
ə œ̃	17
ɛ œ̃	23
ɛ̃ y	35
ɛ̃ ɔ̃	43
d œ̃	16
d ɛ	44
m œ̃	21
m ɛ	45
u œ̃	8
ɑ̃ œ̃	30
i ɔ̃	82
i y	108
o y	57
œ̃ y	20
œ̃ ɔ̃	18
a u	79
e u	77
y u	54
ɑ̃ u	65
ɔ u	46
ɔ̃ u	45
ə u	51
ɛ u	77
ɛ̃ u	28
d u	13
i u	76
m u	12
œ̃ u	11
a ʒ	19
e ʒ	13
i ʒ	9
ɑ̃ ʒ	10
ɔ ʒ	2
a t	88
e t	70
i t	57
o t	31
œ̃ t	41
ɔ t	23
ə t	24
ɛ t	67
ɑ̃ t	59
y œ̃	14
ɔ̃ œ̃	15
ɛ̃ t	23
d i	32
e i	166
m i	34
u i	88
œ̃ i	36
ɑ̃ i	133
ɔ i	92
ɔ̃ i	97
ə i	109
y i	114
t i	63
ʒ i	17
b u	10
o i	84
o ʒ	6
ɔ̃ ʒ	5
ə ʒ	2
ɛ ʒ	12
k j	42
n j	45
i ʁ	74
w ʁ	15
l t	128
w l	10
w t	7
ə l	7
ɛ l	44
l ɑ̃	28
w ɑ̃	9
ɑ̃ l	41
ɔ̃ l	23
ɔ̃ t	35
ɔ̃ ʁ	30
ʁ t	138
ʃ t	58
ʃ ɑ̃	10
ʃ ʁ	62
k ɑ̃	31
i l	35
u l	18
ɡ l	36
ɡ t	53
e l	53
p ɑ̃	30
œ̃ l	34
u ʁ	43
œ̃ ʁ	41
ə ʁ	23
l w	12
t w	8
ə w	2
ɛ w	15
ɑ̃ w	9
ɔ̃ w	8
ʁ w	16
ʃ w	5
k w	6
a w	10
f i	24
f w	8
i w	12
w i	9
ʁ i	73
l i	34
u w	8
ɡ i	24
ɡ w	7
n w	7
e p	48
e w	14
l e	41
p e	45
p w	11
w e	13
w p	10
œ̃ p	24
œ̃ w	4
ɑ̃ p	35
s i	53
s w	7
l ə	8
w ə	1
ɡ ə	9
f ə	9
ʁ ə	22
p i	43
l f	57
w f	7
ə f	6
ʁ f	64
l u	17
w u	5
ʁ u	32
i p	41
l œ̃	21
w œ̃	2
ʁ œ̃	25
p œ̃	11
a f	33
i f	18
ʃ s	70
ʃ z	19
d z	40
f z	28
t z	42
p z	33
b z	16
s z	43
z t	52
d ʃ	36
k ʃ	34
s ʃ	49
ʒ ʃ	31
ʃ d	49
s ʒ	68
ʁ ʒ	67
d ʒ	68
z ʃ	16
z d	48
ɑ̃ s	54
e s	59
y s	33
y ʒ	9
ɔ p	21
ɡ p	52
d p	95
b œ	9
f p	90
f œ	6
k œ	8
p œ	13
s p	117
s œ	3
t œ	9
œ p	13
œ t	11
z p	38
ʒ p	71
a p	58
b ɡ	29
d ɡ	29
l ɡ	23
p ɡ	40
p ɔ	20
t ɡ	38
œ̃ ɡ	8
ɔ ɡ	9
ɡ ɔ	13
k ɔ	17
n ɔ	3
n ɡ	25
z ɔ	3
z ɡ	12
s ɔ	16
v ɔ	7
ɔ v	6
a ɡ	20
v ɡ	23
b d	67
b l	60
d b	55
l b	51
p d	98
œ̃ b	11
œ̃ d	26
ɔ b	9
ɔ d	13
ɡ b	28
ɡ d	34
f b	50
œ b	7
v b	48
a b	25
a d	35
d f	71
m f	66
p f	79
z k	42
ɔ k	19
k f	79
p s	132
ɔ s	18
a k	60
b f	53
s f	78
œ f	5
œ k	8
ɡ v	26
f m	79
œ s	3
f a	29
p a	57
k a	62
ɡ a	25
ʃ p	43
f n	69
n f	60
ʒ f	43
ʒ l	71
v f	55
l ʒ	58
n ʒ	56
p ʒ	58
e n	37
n ɛ	34
ɛ n	37
ɛ ʁ	88
ʁ ɛ	83
u n	16
ʃ n	41
ɑ̃ n	38
l ɛ	39
e m	43
ɛ m	38
n e	34
u m	18
ɑ̃ m	36
y m	27
e d	38
ɛ d	35
e ʃ	8
m ʃ	38
n ʃ	35
u ʃ	3
ʁ ʃ	43
ɑ̃ ʃ	11
ɛ ʃ	12
n u	7
ʃ u	5
n ɑ̃	26
ʃ k	44
y d	26
y k	28
y t	36
y v	15
a m	44
a v	27
u b	10
u k	18
u t	22
u v	11
y b	16
e k	57
e v	24
ɔ m	6
a s	68
i b	24
i k	39
i m	29
i s	48
i v	13
ɛ k	53
ɛ s	53
ɛ v	21
y n	20
u ʒ	3
ɔ n	3
f ʃ	22
l ʃ	41
t ʃ	43
v ʃ	34
y ʃ	7
p ʃ	34
d y	22
k y	27
m y	25
n y	19
s y	32
t y	42
v y	18
ʒ y	9
p y	28
f y	20
u f	12
y f	17
ɔ f	8
l y	24
ʁ y	47
ʃ f	26
ʃ y	9
u p	24
y p	26
ɛ p	58
s a	70
v a	25
k e	64
ɔ œ	17
ø ɛ	46
k ɛ	55
i œ	20
ø œ	6
ɔ̃ œ	6
ɛ̃ œ	3
d œ	4
œ ɔ	18
i ø	31
œ ø	6
ɛ ø	36
ɔ̃ ø	19
œ d	3
ø ɔ̃	22
œ ɔ̃	5
œ i	26
ø i	42
a a	14
ɛ̃ i	66
i ɛ̃	50
œ̃ ɛ̃	13
ø ɑ̃	30
ɑ̃ ø	23
o ø	14
ɛ ɡ	26
i ɡ	15
y ɡ	6
l z	49
n z	38
z l	57
z n	47
ɲ l	11
ɲ t	7
ɲ z	4
ʁ z	47
k z	36
m z	42
z ʒ	23
ʒ z	25
v z	31
z f	28
ɲ f	2
ɲ ʒ	4
ɲ d	5
z v	35
ɲ v	5
ɑ̃ k	36
ɲ k	7
z m	47
ɲ p	5
d ɲ	4
f ɲ	2
l ɲ	7
n ɲ	5
p ɲ	4
s ɲ	6
t ɲ	4
v ɲ	3
z ɲ	3
ʁ ɲ	7
ʒ ɲ	3
k ɲ	5
ɑ̃ ɲ	2
ʃ ɲ	2
o u	47
p u	17
p ɛ	59
k i	45
ʃ i	13
ʒ u	2
f ɛ	34
t u	23
ɡ u	8
f u	8
d ə	14
p ə	16
ə p	19
k ə	16
ɔ̃ p	21
o p	26
p o	15
u o	37
f ɔ	10
ɡ e	21
i d	24
u d	13
ə d	7
ɡ y	11
t ɔ̃	28
ɡ ɔ̃	6
ɛ f	26
ɔ̃ k	23
ə k	10
k ɔ̃	16
p ɔ̃	13
i j	26
t j	49
d j	46
j p	39
p j	44
s j	54
ɑ̃ j	25
j k	42
j t	52
j i	20
j s	55
j m	45
ɛ̃ ʁ	36
j e	35
j y	17
o ʁ	43
m j	44
e j	35
y j	21
b j	16
o j	8
j n	43
o n	13
j d	47
ɑ̃ d	19
j ɑ̃	19
e e	60
ø e	51
ø ə	28
ø o	17
ø u	17
ø y	25
e ø	38
u ø	13
y ø	22
ə ø	20
ʁ o	23
ø ɔ	22
ɔ ø	19
ɛ̃ ø	16
ø ɛ̃	17
œ̃ s	35
ɛ̃ s	22
s œ̃	25
s ɛ̃	23
m ɔ̃	12
m ə	9
ɔ̃ m	17
ə m	8
s ɛ	54
ɡ ɑ̃	6
d ɔ̃	6
ɛ̃ m	11
b i	33
s ɔ̃	21
ø t	8
i ʃ	10
ɔ ʃ	2
ə ʃ	1
ø d	5
ɔ̃ d	11
ɛ̃ d	10
o s	30
ɔ̃ s	21
d ø	1
t ø	4
s o	23
ɡ ø	4
m ɛ̃	9
d ɛ̃	5
a ʃ	10
ɔ̃ ʃ	4
s ɡ	25
j ɡ	13
ɡ n	33
f ɡ	31
ɡ f	34
ʒ ɡ	18
j v	24
ɡ s	35
ɡ ʒ	16
k ɛ̃	10
ɛ̃ k	10
z j	19
ɔ j	1
ɔ̃ j	11
o l	24
ɑ̃ v	22
u j	14
ɛ j	29
f j	32
s u	18
j u	11
o d	9
u s	24
j ɛ	30
d o	10
j o	2
œ ə	14
œ u	17
œ y	16
k u	17
p ø	5
u œ	15
ø p	9
ɑ̃ œ	7
ə œ	12
y œ	13
k ø	6
ɡ œ	8
œ ɑ̃	9
ø k	8
v j	29
v w	7
o v	12
v o	5
k œ̃	18
j w	11
w ɛ	11
o w	7
w j	9
œ̃ m	30
j z	15
œ̃ z	10
j ə	8
j ɔ	1
j ɛ̃	2
o m	15
a n	39
ɔ̃ b	7
ɛ b	26
ʁ ɛ̃	20
ʁ ɔ̃	16
e b	18
ɑ̃ b	14
ə b	7
i n	35
y y	11
ɡ ʁ	34
y w	9
ɛ̃ w	4
m w	10
d w	6
w o	3
m o	8
w y	9
œ̃ j	9
l ɔ̃	9
o œ	7
s ə	22
o k	22
ə s	10
ɡ ʃ	12
j ʃ	16
ɛ̃ l	15
ɛ̃ v	4
ɔ̃ v	7
j f	27
ɔ̃ f	11
n a	33
z a	12
ʒ j	15
ʃ j	21
ɡ z	10
ɛ̃ z	4
a z	8
j ʒ	16
ɔ̃ z	2
ɛ̃ b	3
j b	15
b ʃ	23
ø w	5
z ɛ	11
ɛ z	7
l o	9
ø b	4
ɡ j	17
ø ɡ	4
ɑ̃ ɡ	6
ʁ ɡ	21
b ø	3
ʃ b	25
z e	12
n i	33
ə j	6
v u	8
ɛ̃ œ̃	11
ø m	4
œ̃ v	12
œ̃ ʒ	11
ø v	3
v i	12
œ̃ ʃ	9
œ̃ n	18
œ̃ k	24
œ̃ f	11
f œ̃	7
n œ̃	12
z œ̃	7
ʒ œ̃	7
b o	7
s ø	2
ø s	2
ø œ̃	2
œ̃ ø	3
e ɡ	12
z i	8
ɔ̃ n	5
ɛ̃ n	7
b œ̃	6
k o	11
w b	5
w v	5
b w	5
w d	5
w ʃ	2
e z	10
ʃ ɡ	13
ɛ̃ ɡ	2
ɛ̃ ʒ	4
v ə	3
ɲ ɡ	2
o ɡ	9
ɲ b	3
v ɛ	22
w ɔ̃	4
j œ̃	8
ɡ œ̃	5
v œ̃	6
ʃ œ̃	5
z ɑ̃	7
ɛ ɲ	2
f ɛ̃	4
l ɛ̃	9
n ɛ̃	6
ɛ̃ f	2
ɑ̃ z	7
o z	1
œ ʁ	5
œ o	6
ɡ o	7
u ɡ	4
œ ɡ	5
ɔ̃ ɡ	4
ə ɡ	4
o b	8
ɲ m	6
ɲ œ̃	2
o f	8
j ɔ̃	5
f ɔ̃	6
w k	6
w a	5
w z	1
z w	1
w m	7
w n	6
ɛ̃ p	9
ʒ w	4
w ɡ	3
w s	8
ɔ z	3
œ ɛ̃	3
y z	4
z y	3
ɲ j	5
j ɲ	4
m ɲ	4
ɲ ʃ	1
f o	4
z u	1
v ɔ̃	4
w ʒ	1
o ʃ	3
n o	6
n ɔ̃	4
v ɛ̃	1
p ɛ̃	5
w ɛ̃	1
v ø	2
w ø	4
ʁ œ	3
ɲ a	6
z ɛ̃	3
a ɲ	2
v œ	1
œ v	2
œ̃ œ	2
f ø	3
ə n	2
n ə	2
m ø	3
i z	5
u z	2
ø n	3
z ə	1
b ɛ̃	2
ɡ ɛ̃	2
ø f	4
ɛ̃ ɲ	1
e ɲ	1
i ɲ	1
ɲ ɛ	1
ɲ ɛ̃	2
ɲ e	1
ɛ̃ j	1
œ̃ ɲ	1
ɲ ɑ̃	1
œ œ̃	2
n ø	1
ʒ ɛ̃	1
œ ʒ	1
œ n	1
n œ	1
ʃ ɛ̃	1
b ɲ	2
ø ʒ	1
ʃ œ	1
ʒ œ	1
ɡ ɲ	1
ɲ o	1
