Contrasts	Quantity_Context
l ʁ	191
ʁ l	177
a j	23
a l	67
a ʁ	99
j l	55
j ʁ	74
l j	51
ø j	8
ø l	7
ø ʁ	15
ʁ j	65
t l	126
t ʁ	145
y l	26
y ʁ	58
ɔ ʁ	24
f l	69
f ʁ	83
ɔ l	11
a ø	31
l a	65
l ø	6
ø a	42
ʁ a	87
ʁ ø	9
ɔ a	117
j a	22
j ø	5
l ɔ	10
ʁ ɔ	20
a ɔ	94
d s	140
k s	131
s d	135
m s	135
l v	78
v l	85
ʃ l	56
ʃ v	41
l d	110
d l	115
a ɔ̃	79
e a	185
e ɔ̃	84
ɔ̃ a	99
ɛ e	173
a e	180
ɔ̃ e	108
e ɛ	173
n b	51
s b	57
t b	61
z b	19
ʁ b	57
m b	52
p b	69
b s	71
z s	58
ʁ s	170
b n	62
n s	125
s n	124
ɲ n	6
ɲ s	11
ʁ n	127
m n	103
p n	88
t s	158
b ʁ	70
s ʁ	182
n ʁ	139
ɲ ʁ	14
z ʁ	65
t n	106
n m	105
b p	79
n p	91
b m	63
p m	101
m p	102
d k	110
d m	96
d n	93
k d	112
k m	111
k n	99
m d	100
m k	116
n d	94
n k	105
d ʁ	134
k ʁ	130
m ʁ	138
v d	87
v k	81
v m	79
v n	67
v ʁ	97
ʁ d	117
ʁ k	122
ʁ m	129
s k	132
v s	108
f d	79
f k	92
f s	97
s m	127
t d	125
t k	130
t m	108
ʒ d	83
ʒ k	71
ʒ m	68
ʒ n	61
ʒ s	78
ʒ ʁ	92
k l	113
l k	115
l n	108
n l	105
l s	142
s l	142
l m	114
d v	76
k v	74
n v	68
s v	100
ʁ v	83
f v	62
m v	77
m l	118
a ə	95
u ə	57
d t	122
s t	147
v t	93
k ʒ	60
b t	71
n t	105
p t	129
k t	124
m t	109
b ʒ	34
m ɡ	20
p k	111
b k	69
t ʒ	68
ɡ k	50
k ɡ	39
ʒ t	78
k p	107
t p	122
k b	60
ʒ b	36
ɡ m	31
a ɛ	182
i a	164
i ɛ	168
ɛ a	179
t ɛ	71
ɡ ɛ	33
œ a	26
