Contraste	Quantite_Speaker
	
d hh	210
hh d	210
p d	209
p hh	209
r d	210
r hh	210
s d	210
s hh	210
b d	210
b hh	208
er d	205
er hh	166
b m	207
hh m	201
m hh	208
n hh	207
n m	210
v hh	197
v m	210
w hh	210
w m	209
d l	209
er l	180
hh l	210
k d	210
k hh	208
k l	210
l d	210
l hh	209
v d	207
v l	209
w d	210
w l	210
d m	210
g d	206
g hh	182
g m	199
m d	210
jh d	206
z d	210
b th	139
d th	169
hh th	132
p th	118
s th	133
t d	210
t hh	209
t th	149
th d	208
th hh	182
f d	206
f hh	199
sh d	208
sh hh	199
z hh	201
b l	210
l m	210
m l	210
f m	209
r m	209
z m	209
th m	187
d b	210
er b	164
hh b	208
r b	210
s b	210
w b	210
m b	210
n b	210
v b	190
g b	187
jh b	153
z b	201
p b	210
t b	210
th b	192
d f	209
er f	133
hh f	193
r f	207
s f	210
sh f	172
w f	202
z f	206
l b	210
b f	207
f b	209
m f	210
v f	201
b r	210
b s	210
d r	210
d s	210
er r	210
er s	195
hh r	209
hh s	210
r s	210
s r	210
b p	210
d p	205
hh p	208
p s	210
s p	210
t p	210
t s	210
th p	160
th s	172
f r	210
f s	210
sh r	207
sh s	210
w r	210
w s	210
z r	210
z s	210
m r	210
v r	198
p r	201
d er	140
hh er	108
k er	144
l er	155
v er	49
w er	138
f er	111
r er	185
s er	193
sh er	66
z er	102
b w	210
hh w	210
m w	210
v w	195
d w	210
er w	204
k w	210
l w	209
f w	209
r w	210
s w	210
sh w	189
z w	207
d v	205
er v	61
hh v	166
k v	202
l v	205
w v	170
b v	198
jh v	138
z v	192
f v	198
m v	210
r v	180
th l	182
b er	133
d z	210
er z	86
f z	208
hh z	188
r z	210
s z	210
sh z	179
w z	181
b z	197
m z	209
v z	198
l th	118
m th	149
r p	199
hh t	210
jh z	171
b t	210
d t	210
p t	210
s t	210
th t	208
ae ow	209
iy ow	205
iy ax	210
ae ax	210
ao ow	165
iy ae	210
ow ae	210
ax ae	210
ao ae	183
ax ow	210
ae iy	209
ax iy	210
ow iy	210
ow ax	210
n k	210
p k	210
dh l	210
ng l	210
l k	210
n l	210
z k	210
z l	210
m k	209
dh k	208
t k	210
t l	210
k n	210
k p	210
n p	210
p n	210
r n	210
s n	210
l n	210
z n	210
k dh	210
l dh	210
t dh	210
k z	209
n z	210
l z	210
ng dh	210
f g	209
aa g	70
b g	183
z g	116
th f	190
g f	204
aa b	86
f th	149
b k	209
b n	210
dh b	206
dh n	210
hh k	203
hh n	209
k b	208
p l	210
d n	210
l s	210
m n	210
m s	210
n s	210
ng m	209
ng n	210
ng s	210
p m	206
s l	210
s m	210
t m	210
t n	210
v n	210
v s	210
ch k	188
ch l	187
ch m	182
ch n	210
ch s	206
k m	209
k s	210
ng k	205
s k	210
sh k	205
