Contraste	Quantite_Speaker
b m	3110
f m	2729
d hh	2740
hh d	2899
p d	2945
p hh	1950
r d	2938
r hh	2781
s d	7722
s hh	3141
b hh	2829
er hh	865
f hh	1846
w hh	3114
b d	3597
er d	1221
k d	4479
k hh	2034
z d	4615
z hh	1369
hh m	2060
m hh	2687
n hh	1594
n m	5568
v hh	877
v m	2877
w m	2596
d l	5158
er l	940
hh l	2862
k l	4572
l d	4579
l hh	2781
v d	2311
v l	2170
w d	3165
w l	3087
d m	4170
g d	1549
g hh	1008
g m	1450
m d	4529
jh d	1793
b th	392
hh th	292
th hh	758
v th	245
z th	201
d th	559
p th	297
s th	306
t d	9514
t hh	2216
t th	431
th d	1386
f d	3479
sh d	1501
sh hh	1173
b l	3987
l m	5339
m l	6426
r m	3180
z m	2581
th m	773
b f	1704
er b	507
er f	363
f b	1912
hh b	2405
hh f	1124
w b	2581
w f	1569
d b	3071
r b	2316
s b	3368
m b	3074
n b	2754
v b	1102
g b	1069
jh b	699
z b	1108
th b	731
p b	2310
t b	3236
d f	2664
r f	1584
s f	3202
sh f	759
z f	1591
l b	3370
m f	2418
v f	1164
b r	2434
b s	3946
d r	3282
d s	7679
er r	1516
er s	1817
hh r	2487
hh s	2993
r s	4459
s r	4877
b p	2526
d p	2584
hh p	1498
p s	4122
s p	2980
t p	4296
t s	8017
th p	637
th s	834
f r	2377
f s	4259
sh r	1345
sh s	2445
w r	2727
w s	3861
z r	3003
z s	4112
m r	3831
v r	1206
b er	309
d er	473
hh er	297
r er	661
s er	1290
k er	445
z er	293
b w	3066
hh w	3627
m w	3067
v w	1064
d w	3543
er w	934
k w	2456
l er	499
l w	3389
v er	103
w er	372
f er	298
f w	2439
r w	3123
s w	4114
sh er	219
sh w	882
z w	1382
p r	1742
d k	3903
er k	617
hh k	1240
l k	3954
v k	1232
w k	1665
b z	1071
d z	3204
jh z	746
v z	1803
hh z	812
th z	409
er z	256
f z	1701
r z	2462
s z	2871
sh z	697
w z	691
m z	2464
d v	1743
er v	112
hh v	515
k v	1325
l v	1665
w v	436
b v	1146
jh v	573
z v	1621
th v	422
f v	1374
m v	2990
r v	894
th l	777
z k	2314
k z	2235
l th	307
m th	414
r p	1295
hh t	2734
b t	4642
d t	9951
p t	6531
s t	9114
th t	1348
ae ax	8985
iy ax	8323
ae ow	1746
iy ow	1950
