Contraste	Quantite_Speaker
l ʁ	8032
ʁ l	7473
a j	276
a l	1339
a ʁ	2811
j l	1661
j ʁ	2516
l j	962
ø j	58
ø l	93
ø ʁ	203
ʁ j	1561
t l	4861
t ʁ	5361
y l	451
y ʁ	1614
ɔ ʁ	385
f l	2200
f ʁ	2215
ɔ l	103
a ø	437
l a	839
l ø	21
ø a	970
ʁ a	1497
ʁ ø	36
ɔ a	4666
j a	111
j ø	9
l ɔ	124
ʁ ɔ	208
a ɔ	3788
d s	6649
k s	5580
s d	6666
m s	5319
l v	2345
v l	2989
ʃ l	1271
ʃ v	882
l d	5710
d l	5597
a ɔ̃	2173
e a	5982
e ɔ̃	1932
ɔ̃ a	2879
ɛ e	6213
a e	5328
ɔ̃ e	2662
e ɛ	7221
n b	651
s b	974
t b	1343
z b	225
ʁ b	1472
m b	683
p b	1730
b s	1928
z s	2120
ʁ s	7373
b n	1124
n s	5427
s n	4175
ɲ n	131
ɲ s	243
ʁ n	4094
m n	3086
p n	2068
t s	6380
b ʁ	2499
s ʁ	7338
n ʁ	5135
ɲ ʁ	320
z ʁ	1909
t n	3401
n m	3132
b p	2727
n p	2422
b m	1226
p m	2761
m p	2996
d k	3338
d m	2587
d n	2668
k d	4016
k m	2844
k n	2772
m d	3077
m k	3006
n d	3166
n k	3055
d ʁ	3932
k ʁ	4876
m ʁ	5064
v d	2687
v k	2114
v m	2620
v n	1858
v ʁ	3031
ʁ d	4067
ʁ k	3645
ʁ m	3848
s k	4206
v s	4191
f d	1872
f k	2115
f s	2800
s m	4133
t d	4651
t k	3542
t m	3554
ʒ d	2302
ʒ k	1257
ʒ m	1352
ʒ n	1476
ʒ s	2779
ʒ ʁ	2388
k l	4528
l k	3729
l n	3811
n l	4538
l s	8258
s l	8312
l m	3574
d v	2028
k v	1758
n v	1701
s v	2860
ʁ v	2378
f v	1325
m v	2276
m l	4367
o ə	1632
a ə	6648
u ə	2548
d t	5135
s t	5710
v t	3826
k ʒ	738
b t	2334
n t	3779
p t	5689
k t	4495
m t	4096
b ʒ	317
m ɡ	354
p k	3479
b k	1540
t ʒ	1007
ɡ k	1121
k ɡ	748
ʒ t	2102
k p	4113
t p	5125
k b	1136
ʒ b	373
ɡ m	663
a ɛ	8472
i a	7304
i ɛ	8354
ɛ a	8020
t ɛ	1555
ɡ ɛ	530
œ a	1155
œ ɛ	1595
a i	7142
ɛ i	8175
a œ	951
e œ	632
ɛ œ	1225
œ e	665
ɑ̃ a	4980
t a	1042
u a	3799
a ɑ̃	4303
t ɑ̃	663
u ɑ̃	1718
t v	2852
ʒ v	976
b v	837
p v	1863
ʃ m	1110
f t	3157
m ʒ	842
v ʒ	688
ʃ ʒ	389
v p	2463
f ʒ	385
t f	1712
ɛ̃ a	2017
a ɛ̃	877
f e	200
e ʁ	2398
ʁ e	1632
e ɑ̃	4421
f ɑ̃	88
ɑ̃ e	4606
ɑ̃ ʁ	1901
ʁ ɑ̃	1193
v e	199
v ɑ̃	75
ə ɑ̃	3440
s e	738
e f	169
ɑ̃ f	105
s ɑ̃	471
p ʁ	3713
l p	2999
ʁ p	2958
p l	3124
a o	698
e o	530
e ɔ	2641
e ə	6398
o a	2121
o e	1485
o ɑ̃	1227
o ɔ	780
y a	4131
y e	2592
y o	338
y ɑ̃	2010
y ɔ	2214
y ə	3996
œ̃ a	762
œ̃ e	464
œ̃ o	109
œ̃ ɑ̃	409
œ̃ ɔ	320
œ̃ ə	668
ɑ̃ o	466
ɑ̃ ɔ	1604
ɑ̃ ə	4663
ɔ e	2770
ɔ o	283
ɔ ɑ̃	1857
ɔ ə	3942
ɔ̃ o	249
ɔ̃ ɑ̃	2415
ɔ̃ ɔ	759
ɔ̃ ə	3177
ə a	5945
ə e	4924
ə o	482
ə ɔ	3107
ɛ o	638
ɛ ɑ̃	4859
ɛ ɔ	3855
ɛ ə	6398
b a	617
b e	193
b ɑ̃	110
b ɔ	278
b ə	99
u e	2539
u ɔ	1872
ʃ a	100
ʃ e	150
ʃ o	23
ʃ ɔ	40
ʃ ə	51
ʒ a	142
ʒ e	178
ʒ o	11
ʒ ɔ	63
ʒ ə	60
e ɛ̃	770
o ɛ̃	238
t e	1068
t o	99
t ə	775
t ɛ̃	99
ə ɛ̃	538
ɛ ɛ̃	839
ɛ̃ e	1671
ɛ̃ o	187
ɛ̃ ə	1378
i e	5827
i o	543
i ɔ	3311
i ə	7266
t ɔ	682
u ɛ̃	192
y ɛ̃	310
ɑ̃ ɛ̃	674
ɔ ɛ̃	237
ɔ̃ ɛ̃	516
ɛ̃ ɑ̃	1617
ɛ̃ ɔ	322
d a	390
d e	353
d ɑ̃	135
d ɔ	126
i ɑ̃	4608
m a	304
m e	544
m ɑ̃	306
m ɔ	125
ʒ ɑ̃	98
a y	2638
b y	167
b ɔ̃	10
b ɛ	932
e y	1946
u y	991
u ɔ̃	736
u ɛ	3678
y ɔ̃	829
y ɛ	4326
ɑ̃ y	1379
ɑ̃ ɔ̃	1880
ɑ̃ ɛ	5562
ɔ y	1844
ɔ ɔ̃	642
ɔ ɛ	5144
ɔ̃ y	847
ɔ̃ ɛ	2766
ə y	2435
ə ɔ̃	1966
ə ɛ	5837
ɛ y	2905
ɛ ɔ̃	1867
o ɔ̃	571
o ɛ	1977
ʃ ɔ̃	19
ʃ ɛ	187
ʒ ɔ̃	36
ʒ ɛ	194
ɛ̃ ɛ	2171
a œ̃	199
e œ̃	114
i œ̃	84
o œ̃	79
