m,hh
b,zh
oy,uw
y,k
uw,ax
l,er
ch,zh
jh,ch
zh,jh
ao,g
f,t
g,ax
ow,ng
z,sh
g,uh
l,ao
oy,aa
f,zh
zh,g
hh,ao
f,ay
eh,ao
p,f
dh,t
k,m
b,ih
t,r
f,jh
p,ax
t,eh
aa,ay
ay,z
ay,g
ih,g
th,p
ax,aw
aa,jh
jh,g
b,aa
ay,y
eh,oy
aw,uw
r,oy
ae,uh
n,r
eh,b
d,ey
ih,jh
eh,er
s,eh
g,ch
iy,ah
l,iy
ih,oy
ay,sh
er,th
b,r
jh,ow
ey,n
w,ay
ow,er
ng,ih
sh,ow
k,z
d,v
uw,iy
b,v
w,jh
jh,aw
z,dh
dh,y
b,p
ih,t
l,dh
eh,z
f,s
k,ch
ih,ax
m,th
uh,k
zh,ng
n,z
l,f
aw,g
ah,f
m,ch
ey,th
ow,ax
uw,f
aw,ch
w,ax
ey,aw
r,l
ch,uw
ah,ax
ah,ae
dh,ow
ax,ay
d,f
g,sh
iy,ay
ow,iy
ow,k
iy,ao
dh,ay
ao,s
ax,jh
y,zh
r,ch
v,ey
dh,uw
er,z
g,ah
ow,ae
l,g
hh,g
uw,uh
ae,v
w,z
z,oy
hh,s
l,y
oy,hh
ow,aw
z,jh
hh,p
g,eh
m,ow
b,z
p,sh
ow,f
uw,b
l,th
p,w
f,w
ay,l
m,b
s,z
m,f
z,aa
ay,ae
p,aw
k,v
uw,ah
iy,s
uw,t
f,z
hh,f
b,ae
ay,oy
w,aw
f,y
hh,aw
ah,n
hh,dh
w,ey
ax,d
ih,m
ax,t
zh,p
er,aw
l,uw
ah,d
ah,ey
d,aw
er,ey
dh,oy
w,k
er,ae
m,g
z,zh
ih,l
t,jh
hh,iy
n,ow
t,oy
er,k
l,aa
n,t
n,v
l,hh
z,ch
oy,jh
ay,s
iy,v
l,ow
k,ao
ih,d
ax,m
ng,ah
n,ih
l,b
k,t
th,uw
r,p
dh,aw
r,iy
n,jh
n,ae
iy,ey
ax,v
d,w
b,dh
er,t
ey,uw
sh,iy
aw,ah
hh,er
ng,w
hh,ay
m,w
ax,ae
r,ow
ae,eh
k,ay
ax,hh
eh,m
k,ae
w,th
t,uh
k,aw
f,uh
s,w
uw,hh
z,aw
ng,ax
n,ch
ae,iy
k,f
d,b
b,g
er,sh
y,d
ah,sh
g,ae
th,uh
l,ch
sh,th
jh,er
eh,r
uh,ay
w,sh
p,t
ah,ao
aa,r
aa,ch
v,aa
s,t
v,t
uh,oy
ao,aa
aw,n
w,uh
p,aa
k,iy
y,g
y,r
n,sh
ax,th
ih,p
m,z
ao,d
ah,uh
er,uh
oy,g
dh,iy
ao,jh
p,ey
ng,d
ao,p
ao,ay
b,ah
th,t
k,oy
aw,iy
l,k
ey,r
uw,ih
oy,ae
ng,aa
g,er
ow,s
p,v
t,ch
ih,aw
l,jh
ih,uh
y,ch
d,zh
s,sh
ey,l
w,v
m,r
iy,uh
v,ao
aw,eh
f,ae
ih,sh
m,v
b,ow
ah,aa
l,t
aa,ae
ah,t
eh,th
s,ax
k,g
aa,k
d,s
r,ay
ih,y
r,ao
b,er
ng,sh
m,sh
ah,s
sh,y
r,jh
p,g
ih,th
dh,ey
ax,dh
f,v
er,oy
aw,oy
aa,ih
f,ng
b,ao
z,ih
n,aa
aw,ay
t,aw
t,ey
th,hh
aw,ae
ng,th
f,ey
uw,eh
g,aa
z,ah
m,n
m,jh
d,oy
ih,ch
y,aw
n,th
ax,sh
l,eh
n,uw
y,ow
oy,sh
iy,g
b,uh
g,uw
f,b
aa,f
th,g
m,t
k,sh
ae,s
th,v
t,sh
z,y
