m,h
b,ʒ
ɔɪ,u
j,k
u,ə
l,ɝ
tʃ,ʒ
dʒ,tʃ
ʒ,dʒ
ɔ,ɡ
f,t
ɡ,ə
oʊ,ŋ
z,ʃ
ɡ,ʊ
l,ɔ
ɔɪ,ɑ
f,ʒ
ʒ,ɡ
h,ɔ
f,aɪ
ɛ,ɔ
p,f
ð,t
k,m
b,ɪ
t,ɹ
f,dʒ
p,ə
t,ɛ
ɑ,aɪ
aɪ,z
aɪ,ɡ
ɪ,ɡ
θ,p
ə,aʊ
ɑ,dʒ
dʒ,ɡ
b,ɑ
aɪ,j
ɛ,ɔɪ
aʊ,u
ɹ,ɔɪ
æ,ʊ
n,ɹ
ɛ,b
d,eɪ
ɪ,dʒ
ɛ,ɝ
s,ɛ
ɡ,tʃ
i,ʌ
l,i
ɪ,ɔɪ
aɪ,ʃ
ɝ,θ
b,ɹ
dʒ,oʊ
eɪ,n
w,aɪ
oʊ,ɝ
ŋ,ɪ
ʃ,oʊ
k,z
d,v
u,i
b,v
w,dʒ
dʒ,aʊ
z,ð
ð,j
b,p
ɪ,t
l,ð
ɛ,z
f,s
k,tʃ
ɪ,ə
m,θ
ʊ,k
ʒ,ŋ
n,z
l,f
aʊ,ɡ
ʌ,f
m,tʃ
eɪ,θ
oʊ,ə
u,f
aʊ,tʃ
w,ə
eɪ,aʊ
ɹ,l
tʃ,u
ʌ,ə
ʌ,æ
ð,oʊ
ə,aɪ
d,f
ɡ,ʃ
i,aɪ
oʊ,i
oʊ,k
i,ɔ
ð,aɪ
ɔ,s
ə,dʒ
j,ʒ
ɹ,tʃ
v,eɪ
ð,u
ɝ,z
ɡ,ʌ
oʊ,æ
l,ɡ
h,ɡ
u,ʊ
æ,v
w,z
z,ɔɪ
h,s
l,j
ɔɪ,h
oʊ,aʊ
z,dʒ
h,p
ɡ,ɛ
m,oʊ
b,z
p,ʃ
oʊ,f
u,b
l,θ
p,w
f,w
aɪ,l
m,b
s,z
m,f
z,ɑ
aɪ,æ
p,aʊ
k,v
u,ʌ
i,s
u,t
f,z
h,f
b,æ
aɪ,ɔɪ
w,aʊ
f,j
h,aʊ
ʌ,n
h,ð
w,eɪ
ə,d
ɪ,m
ə,t
ʒ,p
ɝ,aʊ
l,u
ʌ,d
ʌ,eɪ
d,aʊ
ɝ,eɪ
ð,ɔɪ
w,k
ɝ,æ
m,ɡ
z,ʒ
ɪ,l
t,dʒ
h,i
n,oʊ
t,ɔɪ
ɝ,k
l,ɑ
n,t
n,v
l,h
z,tʃ
ɔɪ,dʒ
aɪ,s
i,v
l,oʊ
k,ɔ
ɪ,d
ə,m
ŋ,ʌ
n,ɪ
l,b
k,t
θ,u
ɹ,p
ð,aʊ
ɹ,i
n,dʒ
n,æ
i,eɪ
ə,v
d,w
b,ð
ɝ,t
eɪ,u
ʃ,i
aʊ,ʌ
h,ɝ
ŋ,w
h,aɪ
m,w
ə,æ
ɹ,oʊ
æ,ɛ
k,aɪ
ə,h
ɛ,m
k,æ
w,θ
t,ʊ
k,aʊ
f,ʊ
s,w
u,h
z,aʊ
ŋ,ə
n,tʃ
æ,i
k,f
d,b
b,ɡ
ɝ,ʃ
j,d
ʌ,ʃ
ɡ,æ
θ,ʊ
l,tʃ
ʃ,θ
dʒ,ɝ
ɛ,ɹ
ʊ,aɪ
w,ʃ
p,t
ʌ,ɔ
ɑ,ɹ
ɑ,tʃ
v,ɑ
s,t
v,t
ʊ,ɔɪ
ɔ,ɑ
aʊ,n
w,ʊ
p,ɑ
k,i
j,ɡ
j,ɹ
n,ʃ
ə,θ
ɪ,p
m,z
ɔ,d
ʌ,ʊ
ɝ,ʊ
ɔɪ,ɡ
ð,i
ɔ,dʒ
p,eɪ
ŋ,d
ɔ,p
ɔ,aɪ
b,ʌ
θ,t
k,ɔɪ
aʊ,i
l,k
eɪ,ɹ
u,ɪ
ɔɪ,æ
ŋ,ɑ
ɡ,ɝ
oʊ,s
p,v
t,tʃ
ɪ,aʊ
l,dʒ
ɪ,ʊ
j,tʃ
d,ʒ
s,ʃ
eɪ,l
w,v
m,ɹ
i,ʊ
v,ɔ
aʊ,ɛ
f,æ
ɪ,ʃ
m,v
b,oʊ
ʌ,ɑ
l,t
ɑ,æ
ʌ,t
ɛ,θ
s,ə
k,ɡ
ɑ,k
d,s
ɹ,aɪ
ɪ,j
ɹ,ɔ
b,ɝ
ŋ,ʃ
m,ʃ
ʌ,s
ʃ,j
ɹ,dʒ
p,ɡ
ɪ,θ
ð,eɪ
ə,ð
f,v
ɝ,ɔɪ
aʊ,ɔɪ
ɑ,ɪ
f,ŋ
b,ɔ
z,ɪ
n,ɑ
aʊ,aɪ
t,aʊ
t,eɪ
θ,h
aʊ,æ
ŋ,θ
f,eɪ
u,ɛ
ɡ,ɑ
z,ʌ
m,n
m,dʒ
d,ɔɪ
ɪ,tʃ
j,aʊ
n,θ
ə,ʃ
l,ɛ
n,u
j,oʊ
ɔɪ,ʃ
i,ɡ
b,ʊ
ɡ,u
f,b
ɑ,f
θ,ɡ
m,t
k,ʃ
æ,s
θ,v
t,ʃ
z,j
ə,eɪ
θ,j
j,i
tʃ,ɝ
l,w
ɛ,ŋ
ð,dʒ
θ,z
p,ɔɪ
ð,æ
l,ʃ
h,ŋ
l,d
s,eɪ
ɑ,ɝ
s,ɪ
æ,ɔ
oʊ,aɪ
v,ɔɪ
ɹ,ə
p,ʊ
p,j
ɪ,ɝ
s,v
f,tʃ
z,ɔ
z,p
aɪ,ɛ
oʊ,ɔɪ
s,j
h,d
d,ɑ
ʃ,u
ɹ,v
ɔɪ,eɪ
h,w
ŋ,aɪ
v,ʒ
æ,m
ɪ,eɪ
θ,s
t,ŋ
n,s
k,ŋ
ɡ,ð
ɹ,ɪ
ə,i
j,eɪ
ʃ,dʒ
m,ɔɪ
i,d
b,s
æ,l
aʊ,ɑ
w,ɔ
f,θ
z,oʊ
ɑ,ə
p,ð
ʊ,s
i,ɑ
ɹ,k
ɑ,θ
h,n
ɔ,tʃ
ɝ,ɔ
ɑ,ɛ
i,ɛ
b,ŋ
eɪ,ɔ
u,w
aɪ,v
l,z
ð,d
ʌ,ɪ
ʌ,ɔɪ
d,ʃ
ɡ,f
ɹ,aʊ
θ,ɔ
u,aɪ
aɪ,eɪ
k,ʌ
u,dʒ
aɪ,d
