n,m
œ,o
l,ʒ
m,ø
j,o
a,ɛ̃
ʁ,ɔ̃
ɑ̃,a-
w,k
b,ø
o,y-
œ,s
f,œ̃
z,a-
j,s
ʃ,f
θ,ø
z,p
ɛ̃,a-
ɔ,k
ø,ɛ̃
j,e-
e-,aː
e-,s
b,p
m,t
ə,t
œ,d
ə,d
p,ɔ
p,dʒ
j,d
o,ʒ
θ,p
l,ʃ
ɛ̃,ɛ
ɔ,iː
œ,ɔ
v,f
j,ʒ
ɔ̃,aː
a-,y
ə,a
ɡ,œ̃
ɔ,ʃ
ɑ̃,ʃ
o,i
ɑ̃,t
œ,ø
p,e
ə,ø
a,ʃ
y,œː
e-,ɔ
l,a-
i,ɪ
p,j
u,yː
m,v
s,f
ʒ,ɲ
s,a-
ɡ,d
ʁ,y
ʁ,iː
n,e
ɛ̃,e
ɛː,p
p,o
ɔ,ɛː
p,l
e-,t
e,ʒ
i,y-
y,œ
a,e
w,v
ʁ,u
y,y-
l,ɛ̃
ɔ,m
ɑ̃,z
ɔ̃,kː
l,ɔ
a,m
i,ʌ
p,ʃ
e-,ɪ
e-,a
y-,u
n,ɛ̃
ə,i
œ,a-
ɲ,ɛ
w,ʒ
i,a-
s,k
θ,ɡ
e,iː
t,dʒ
ɛ̃,f
ə,ɔ̃
k,t
z,o
j,a
z,l
ə,u
k,e
ə,ɡ
v,ɛ
œ,ɡ
b,dʒ
l,e
w,n
e,u
uː,ɑ̃
ɡ,ɲ
yː,ɛ̃
ɛ,f
t,w
z,œ̃
ʁ,p
ɛ̃,ɔ
ʁ,œ
z,ʃ
m,a-
y,j
ʃ,j
ʁ,l
j,ɑ̃
w,ə
s,ʁ
ʁ,o
a,œ̃
z,v
œ,ɔ̃
o,ʃ
t,i
e,v
a,ɲ
uː,e
e-,d
ɛ̃,k
d,l
ɑ̃,ø
s,z
k,f
n,ʃ
ɛ̃,t
œ̃,i
n,œ̃
o,e-
e-,ɔ̃
m,dʒ
ɑ̃,k
œ̃,aː
w,ɛ
d,y
ʁ,d
ɛː,ɛ
ɑ̃,e
e-,ø
ɛ,z
t,v
ɛː,b
ə,o
ʁ,v
œ̃,d
ɔ̃,yː
o,ɛ
ɪ,ɛ̃
ʁ,aː
e,s
ɑ̃,y-
n,ʒ
a,ɑ̃
w,ɛ̃
ɔ,œː
ɔ̃,œ̃
ɔ,ɑ̃
ɔ̃,œː
aː,s
ə,e-
v,l
ə,f
s,ɛ̃
ɔ̃,m
ɑ̃,f
y,ʌ
ø,a
k,a
ɔ̃,e
s,a
j,u
u,m
e,b
l,ɲ
ʒ,œ̃
e-,m
u,z
a,z
e,ɛ
d,ɛ̃
ʒ,ø
i,d
p,yː
